age_range,mes,positive_cases,deaths,Dosis1,Dosis2,Dosis3
0-19,4,24295,126,3825,6584,0
0-19,9,11421,48,290432,21937,1
0-19,10,11576,51,834985,266609,79
0-19,11,16500,66,2048444,1405891,2279
0-19,12,19260,59,491250,1172494,12174
0-19,1,1052,8,1,4,0
0-19,2,8953,67,528,0,0
0-19,3,25102,143,9038,2570,0
0-19,5,20654,170,3248,3234,0
0-19,6,13901,89,4907,3545,0
0-19,7,12927,84,15719,4578,1
0-19,8,11986,88,20376,17364,1
20-29,4,92930,500,38159,68044,0
20-29,9,16408,56,2227957,145536,17
20-29,10,13590,46,1281845,2142396,24474
20-29,11,16184,34,602477,852998,42323
20-29,12,27784,48,547185,753222,113879
20-29,1,25076,98,34,39,0
20-29,2,61947,323,51222,34,0
20-29,3,89430,418,71187,64021,0
20-29,5,54378,292,45490,29741,0
20-29,6,36398,176,49695,40237,1
20-29,7,24646,126,101000,56600,1
20-29,8,18124,100,95046,98751,1
30-39,4,108028,1852,39610,61118,4
30-39,9,16726,114,2347093,1330884,39
30-39,10,13602,94,431499,1383753,69624
30-39,11,19622,72,337724,392360,59021
30-39,12,31448,78,359257,454066,285986
30-39,1,27194,274,13,31,0
30-39,2,74584,1095,102612,17,0
30-39,3,107090,1580,57000,112062,0
30-39,5,65272,1116,24593,23253,0
30-39,6,44394,608,61298,26816,1
30-39,7,29624,400,203316,78356,1
30-39,8,19054,180,787655,311588,10
40-49,4,90040,4216,24268,37379,1
40-49,9,8320,204,600068,923820,30
40-49,10,8990,152,179526,407839,58283
40-49,11,13938,148,182273,176732,49038
40-49,12,21128,180,209410,231461,508118
40-49,1,15555,425,4,23,0
40-49,2,58330,2664,79423,9,1
40-49,3,88934,3992,39667,91731,1
40-49,5,56348,3066,18730,11661,0
40-49,6,38000,1576,47060,22778,2
40-49,7,25712,938,1444636,195813,10
40-49,8,12894,496,1193773,1581271,18
50-59,4,71018,8364,17907,25029,0
50-59,9,4738,336,219621,265408,20
50-59,10,5414,242,87401,160423,41647
50-59,11,9222,230,92604,82520,41291
50-59,12,14056,304,115594,115361,649969
50-59,1,11666,912,5,16,0
50-59,2,48804,5370,55151,9,0
50-59,3,69900,7206,34189,69949,0
50-59,5,44044,5764,40005,10884,0
50-59,6,29602,3146,465356,64089,3
50-59,7,17652,1810,1662448,1179372,23
50-59,8,6050,638,277985,903613,19
60+,4,86672,31094,345969,122154,0
60+,9,6280,1544,129353,136518,41
60+,10,7898,1566,57556,99997,51856
60+,11,13320,1696,60757,53554,557647
60+,12,14360,1926,109809,89855,1463466
60+,1,13295,4099,13,13,0
60+,2,53852,20436,34719,13,0
60+,3,82858,27978,133878,46536,0
60+,5,55210,22972,1739209,578980,3
60+,6,27094,9846,913220,1724953,17
60+,7,10632,3616,241455,663409,14
60+,8,6144,2228,129361,196270,11
