age_range,date,positive_cases,deaths,Dosis1,Dosis2,Dosis3
0-19,2020-09-19,672.0,5.0,1,0,0
0-19,2020-09-21,614.0,4.0,1,0,0
0-19,2020-09-22,764.0,2.0,1,0,0
0-19,2020-09-25,711.0,5.0,1,0,0
0-19,2020-09-28,315.0,2.0,1,0,0
0-19,2020-10-03,303.0,1.0,1,0,0
0-19,2020-10-06,334.0,2.0,3,0,0
0-19,2020-10-08,391.0,1.0,1,0,0
0-19,2020-10-09,408.0,5.0,1,0,0
0-19,2020-10-10,316.0,0.0,0,1,0
0-19,2020-10-12,364.0,2.0,2,1,0
0-19,2020-10-13,394.0,2.0,1,1,0
0-19,2020-10-16,505.0,2.0,1,1,0
0-19,2020-10-17,327.0,3.0,1,0,0
0-19,2020-10-18,174.0,2.0,1,0,0
0-19,2020-10-19,389.0,3.0,1,1,0
0-19,2020-10-20,327.0,1.0,1,0,0
0-19,2020-10-22,354.0,1.0,1,0,0
0-19,2020-10-24,273.0,2.0,1,1,0
0-19,2020-10-26,326.0,3.0,1,0,0
0-19,2020-10-27,321.0,1.0,1,1,0
0-19,2020-10-28,315.0,2.0,0,1,0
0-19,2020-10-29,316.0,2.0,0,1,0
0-19,2020-11-02,300.0,2.0,0,3,0
0-19,2020-11-03,345.0,0.0,1,1,0
0-19,2020-11-04,343.0,1.0,1,1,0
0-19,2020-11-07,274.0,2.0,0,1,0
0-19,2020-11-08,177.0,4.0,0,1,0
0-19,2020-11-09,342.0,1.0,0,1,0
0-19,2020-11-10,323.0,1.0,0,1,0
0-19,2020-11-12,292.0,1.0,0,1,0
0-19,2020-11-14,222.0,4.0,0,1,0
0-19,2020-11-16,245.0,2.0,1,0,0
0-19,2020-11-17,291.0,3.0,0,1,0
0-19,2020-11-19,274.0,2.0,1,0,0
0-19,2020-11-23,206.0,3.0,1,0,0
0-19,2020-11-24,210.0,2.0,1,1,0
0-19,2020-11-25,224.0,5.0,1,1,0
0-19,2020-11-27,287.0,0.0,2,0,0
0-19,2020-12-02,206.0,3.0,2,0,0
0-19,2020-12-05,184.0,0.0,1,0,0
0-19,2020-12-10,193.0,2.0,0,1,0
0-19,2020-12-11,208.0,1.0,1,0,0
0-19,2020-12-18,205.0,3.0,0,3,0
0-19,2020-12-19,139.0,2.0,0,1,0
0-19,2020-12-22,176.0,1.0,1,0,0
0-19,2020-12-24,81.0,3.0,0,1,0
0-19,2020-12-26,109.0,1.0,0,1,0
0-19,2021-01-02,92.0,1.0,0,1,0
0-19,2021-01-08,206.0,1.0,0,1,0
0-19,2021-01-09,154.0,1.0,0,1,0
0-19,2021-01-16,243.0,1.0,1,0,0
0-19,2021-01-23,357.0,4.0,0,1,0
0-19,2021-02-10,393.0,4.0,4,0,0
0-19,2021-02-11,456.0,2.0,8,0,0
0-19,2021-02-12,365.0,2.0,8,0,0
0-19,2021-02-13,444.0,3.0,7,0,0
0-19,2021-02-14,152.0,3.0,50,0,0
0-19,2021-02-15,409.0,3.0,1,0,0
0-19,2021-02-15,409.0,3.0,10,0,0
0-19,2021-02-16,393.0,7.0,9,0,0
0-19,2021-02-17,512.0,6.0,4,0,0
0-19,2021-02-18,381.0,1.0,11,0,0
0-19,2021-02-19,375.0,3.0,59,0,0
0-19,2021-02-20,385.0,1.0,55,0,0
0-19,2021-02-21,180.0,1.0,14,0,0
0-19,2021-02-22,401.0,1.0,57,0,0
0-19,2021-02-23,435.0,4.0,1,0,0
0-19,2021-02-23,435.0,4.0,64,0,0
0-19,2021-02-24,446.0,1.0,1,0,0
0-19,2021-02-24,446.0,1.0,50,0,0
0-19,2021-02-25,471.0,4.0,1,0,0
0-19,2021-02-25,471.0,4.0,34,0,0
0-19,2021-02-26,441.0,3.0,50,0,0
0-19,2021-02-27,385.0,5.0,27,0,0
0-19,2021-02-28,168.0,1.0,3,0,0
0-19,2021-03-01,430.0,0.0,1,0,0
0-19,2021-03-01,430.0,0.0,34,0,0
0-19,2021-03-02,461.0,1.0,24,0,0
0-19,2021-03-03,472.0,3.0,42,2,0
0-19,2021-03-04,440.0,4.0,32,6,0
0-19,2021-03-05,499.0,3.0,13,10,0
0-19,2021-03-06,448.0,4.0,20,4,0
0-19,2021-03-07,177.0,2.0,1,1,0
0-19,2021-03-08,519.0,2.0,1288,8,0
0-19,2021-03-09,502.0,2.0,1056,6,0
0-19,2021-03-10,533.0,3.0,1,0,0
